5099323000373, 0.629167, 15.10, GROCERY, CANNED/BOTTLED/VEG, 0.75, SPAR PEAS PROCESSED, 0.0000, 5099323080863, N
x5011054104205, 6.767, 67.67, TOBACCO , CIGS 20S, 8.65, BENSON & HEDGES 20PK, 0.2300, 5011054104212, I
5011054341105, 7.888, 78.88, TOBACCO , PIPE/CIG TOBACCO, 10.80, CONDOR R RUB TOB 25G, 0.2300, 5011054341112, I
5011054340108, 7.888, 78.88, TOBACCO , PIPE/CIG TOBACCO, 10.80, MELLOW VIRG R RUB 25G., 0.2300, 5011054340115, I
5011054343109, 9.729, 97.29, TOBACCO , PIPE/CIG TOBACCO, 13.00, OLD HOLBORN 25G, 0.2300, 5011054343116, N
5011054351104, 7.27, 72.70, TOBACCO , PIPE/CIG TOBACCO, 9.00, SAMSON TOB 25G, 0.2300, 5011054351111, I
5011054262103, 3.8535, 77.07, TOBACCO , CIGARS, 5.60, HAMLET 5PK, 0.2300, 5011054262110, N
5011054263209, 0.7707, 77.07, TOBACCO , CIGARS, 1.12, HAMLET DRUM 50S, 0.2300, 5011054263216, N
5000193033903, 0.346791, 11.10, DRINKS , READY TO DRINK, 0.70, CAPRI SUN BLACKCURRANT, 0.2300, 5017726114664, I
5000193414887, 1.38716, 11.10, DRINKS , READY TO DRINK, 2.49, CAPRI SUN TROPICAL 4PK, 0.2300, 5017726114886, I
5000193033927, 1.3875, 11.10, DRINKS , READY TO DRINK, 2.49, CAPRI SUN BLACKCURANT 4P, 0.2300, 5017726133924, I
50998203, 3.05333, 36.64, GROCERY, JAMS/HONEY/SPREADS, 3.60, BOYNE V HONEY PURE JAR, 0.0000, 5011022901812, I
5010024101381, 1.62167, 19.46, GROCERY, SAUCE/GRAVY/STUFFING, 2.80, BISTO GRANULES ORIGINAL, 0.0000, 05010024201388, N
5449000000996, 0.325, 7.80, DRINKS , CANS, 1.20, COCA COLA CAN REG, 0.2300, 05017726180034, N
5098750005951, 1.97, 1.97, GROCERY, CAKES, 2.99, F BAKE BUTTERFLY QUEEN, 0.1350, , I
5449000011527, 0.520833, 12.50, DRINKS , PET/GLASS BOTTLES, 1.10, FANTA ORANGE CAN REG., 0.2300, 05449000059048, N
50147311, 1.29083, 15.49, GROCERY, SALT/PEPPER/SPICES/HERBS, 2.00, COL MUSTARD ENGLISH., 0.0000, 5000147810208, N
50147205, 0.795, 19.08, GROCERY, COFFEE/TEA..ETC., 0.99, JIF LEMON JUICE SQUEEZY, 0.0000, 05000118202131, N
5000147032068, 1.06083, 12.73, GROCERY, COFFEE/TEA..ETC., 1.65, JIF LEMON JUICE BOTTLE, 0.0000, 5000147980109, I
5000158060012, 1.64667, 39.52, HEALTH & BEAUTY, MEDICINAL, 2.45, DISPRIN            12PACK, 0.0000, 05000158413252, N
50158072, 1.96417, 23.57, HOUSE HOLD , BLEACH/DIS/ANTISEPT, 2.75, DETTOL ORIGINAL ANTISEPTI, 0.2300, 5000158424081, I
5000146048466, 2.76875, 22.15, HOUSE HOLD , HOUSHOLD MISC., 3.69, SILVO, 0.2300, 5011417750452, I
5011014129309, 1.065, 25.56, HOUSE HOLD , HOUSHOLD MISC., 1.60, ZIP F/LIGHTER 12PK, 0.1350, 5011014800741, I
074448100226, 2.64, 47.52, GROCERY, BISCUITS, 3.60, JAC KIMBERLEY GANG., 0.1350, 05011021100223, N
074448100325., 2.64, 47.52, GROCERY, BISCUITS, 3.39, JAC MIKADO GANG, 0.1350, 05011021100322, N
5011021003012, 1.16375, 27.93, GROCERY, BISCUITS, 1.56, JAC MARIETTA, 0.1350, 5011021103019, I
074448138663, 1.3925, 33.42, GROCERY, BISCUITS, 1.99, JAC CHOC GOLDGRAIN, 0.2300, 5011021138660, I
074448120088, 0.880417, 21.13, GROCERY, BISCUITS, 1.55, BOL CUSTARD CREAMS, 0.1350, 5011021120085, I
074448119860, 0.799583, 19.19, GROCERY, BISCUITS, 1.55, BOL JERSEY CREAMS, 0.1350, 5011021119867, I
074448120354, 0.799583, 19.19, GROCERY, BISCUITS, 1.55, BOL RASP CREAMS, 0.1350, 5011021120351, I
5000201463760, 0.879583, 21.11, CONFECTIONERY, COUNT LINES, 1.69, CAD BOURNVILLE BAR, 0.2300, 5000201034359, I
5000201499127, 1.25, 30.00, CONFECTIONERY, COUNT LINES, 1.80, CAD DAIRY MILK LGE, 0.2300, 05034660035930, I
5000201499929, 1.25, 30.00, CONFECTIONERY, COUNT LINES, 2.00, CAD TURKISH LGE, 0.2300, 05034660035985, I
5000201998040, 1.25, 30.00, CONFECTIONERY, COUNT LINES, 1.95, CAD CARAMELLO LGE, 0.2300, 05034660035992, I
50201754, 0.391042, 18.77, CONFECTIONERY, COUNT LINES, 0.95, CAD CARAMEL, 0.2300, 5000201159915, I
5000201476982, 0, 0.00, CONFECTIONERY, COUNT LINES, 1.00, CAD WISPA, 0.2300, 5000201228444, I
5000201460509, 0.641042, 30.77, CONFECTIONERY, COUNT LINES, 1.25, FRYS CREAM CHOCOLATE, 0.2300, 5000201031181, I
50201105, 0.416667, 20.00, CONFECTIONERY, COUNT LINES, 1.50, FRYS TURKISH DELIGHT, 0.2300, 05000201024169, N
5000201468611, 0.325, 15.60, CONFECTIONERY, COUNT LINES, 1.40, CAD CRUNCHIE STD BAR, 0.2300, 05000201160744, N
5000201476067, 0.3725, 17.88, CONFECTIONERY, COUNT LINES, 0.80, CAD PICNIC, 0.2300, 5000201186461, I
5000201499776, 0.520625, 24.99, CONFECTIONERY, COUNT LINES, 1.40, CAD TWIRL., 0.2300, 05000201191694, N
5000201478542, 0.545625, 26.19, CONFECTIONERY, COUNT LINES, 1.10, CAD STARBAR, 0.2300, 5000201000484, I
5034660500926x3, 0.480208, 23.05, CONFECTIONERY, COUNT LINES, 1.05, CAD DOUBLE DECKER, 0.2300, 5034660001201, I
5449000010711, 0.486667, 11.68, DRINKS , PET/GLASS BOTTLES, 7.99, LILT REG CAN, 0.2300, 05449000055378, I
87177749, 0.27875, 6.69, DRINKS , PET/GLASS BOTTLES, 1.15, SEVEN UP FREE CAN, 0.2300, 05000368600480, N
5099890000127, 0.490556, 8.83, CONFECTIONERY, COUNT LINES, 0.98, RITCHIE MINTS AFT DINNER, 0.2300, 5099890000837, I
5449000000439, 1.38083, 16.57, DRINKS , PET/GLASS BOTTLES, 1.90, COCA COLA REG, 0.2300, 5449000000422, N
5449000053893, 1.38083, 16.57, DRINKS , PET/GLASS BOTTLES, 1.90, COCA COLA DIET., 0.2300, 05449000055316, N
5000197573610, 1.9125, 22.95, GROCERY, BREAD, 2.45, SHAR NAAN TANDOORI MASAL, 0.0000, 5000197254779, D
5000168002286, 1.56875, 37.65, GROCERY, BISCUITS, 2.15, TUC CRACKERS, 0.1350, 5000137137179, I
5000168001203, 1.42417, 34.18, GROCERY, BISCUITS, 2.00, MCV RICH TEA, 0.1350, 05000168036281, I
5000168001142, 1.535, 36.84, GROCERY, BISCUITS, 2.20, MCV DIGESTIVE, 0.1350, 05000168011844, N
50168033, 1.34417, 32.26, GROCERY, BISCUITS, 2.65, MCV DIGESTIVE MILK CHOC, 0.2300, , I
50168040, 1.46583, 35.18, GROCERY, BISCUITS, 2.19, MCV DIGESTIVE CHOC PLAIN, 0.1350, 5000168011875, I
5000168001814, 1.30313, 20.85, GROCERY, CAKES, 2.09, MCV JAMAICA GINGER CAKE, 0.1350, 5000168012001, I
5000175405759, 1.5825, 18.99, GROCERY, CANNED FISH/MEAT/PASTA, 1.99, CAM MEATBALL GRAVY, 0.0000, 5000175811253, I
5000175405766, 1.5825, 18.99, GROCERY, CANNED FISH/MEAT/PASTA, 2.10, CAM MEATBALL ONION, 0.0000, 5000175810911, I
5000175400549, 1.68667, 20.24, GROCERY, CANNED FISH/MEAT/PASTA, 2.50, CAM STEW CHICKEN, 0.0000, 5000175309323, I
6194020100100, 0.978917, 11.75, GROCERY, BAKERY/COOKERY, 1.39, ROYAL BAKING POWDER, 0.0000, 28410000912702, I
5011029120018, 0.846, 16.92, GROCERY, COFFEE/TEA..ETC., 1.80, SCOTBAR MILK, 0.0000, 5011029140016, I
5011029120025, 0.846, 16.92, GROCERY, COFFEE/TEA..ETC., 1.40, SCOTBAR PLAIN, 0.0000, 5011029110132, I
5000166014793, 0.755, 18.12, GROCERY, PETFOODS, 1.05, PEDIGREE CIL ORIGINAL, 0.2300, 05000166081795, I
5000166014816, 0.918333, 22.04, GROCERY, KVI, 1.16, PEDIGREE CIL CHICKEN, 0.2300, 5000166081818, I
5000166014823, 0.737083, 17.69, GROCERY, PETFOODS, 1.16, PEDIGREE CIL LAMB, 0.2300, 5000166081825, I
5000166014830, 0.77375, 18.57, GROCERY, PETFOODS, 1.16, PEDIGREE CIL RABBIT, 0.2300, 5000166081832, I
5000166032582, 3.958, 19.79, GROCERY, PETFOODS, 5.76, PEDIGREE MIXER, 0.2300, 5000166133104, I
5011040019292, 2.8875, 23.10, GROCERY, COFFEE/TEA..ETC., 3.19, ODLUM FLOUR CREAM, 0.0000, 5011040119244, I
5011040021943, 2.8875, 23.10, GROCERY, BAKERY/COOKERY, 3.19, ODLUM FLOUR SELF RAISING, 0.0000, 5011040121896, I
5011040024456, 3.435, 27.48, GROCERY, COFFEE/TEA..ETC., 2.97, ODLUM WHOLEMEAL COARSE, 0.0000, 5011040124453, I
5011040022322, 1.772, 26.58, GROCERY, COFFEE/TEA..ETC., 2.19, ODLUM FLOUR SELF RAISING, 0.0000, 05011040122329, N
5000166023115, 0.7525, 18.06, GROCERY, PETFOODS, 1.20, WHISKAS CIL BEEF, 0.2300, 5000166090551, I
5000166023139, 0.7325, 17.58, GROCERY, PETFOODS, 1.09, WHISKAS CIL CHICKEN, 0.2300, 05000166090575, I
50243006, 0.219444, 15.80, CONFECTIONERY, COUNT LINES, 0.40, MILKYBAR SMALL, 0.2300, 00000050243006, I
50243914, 0.511389, 18.41, CONFECTIONERY, COUNT LINES, 1.00, MILKYBAR CHUNKY, 0.2300, 5000243027098, I
5410673001009, 1.3875, 16.65, GROCERY, PASTA/RICE, 2.00, UBEN RICE LONG GRAIN, 0.0000, 5010034017672, I
5010115902941, 1.72917, 20.75, GROCERY, COFFEE/TEA..ETC., 2.15, TATE&LYLE GOLDEN SYRUP TI, 0.0000, 05010115002948, I
40099132, 0.18125, 4.35, CONFECTIONERY, COUNT LINES, 0.50, HUBBABUBBA STRAWBERRY, 0.2300, 4009900082204, I
034014000923, 0.663333, 7.96, CONFECTIONERY, CELLO BAGS, 1.20, OATFIELD BAG EMERALD, 0.2300, 5011018012638, I
5023274045732, 0.32, 12.80, CONFECTIONERY, COUNT LINES, 0.85, BARRATT SOFT NOUGAT BAR, 0.2300, 5034660009870, I
80050278, 0.90375, 14.46, CONFECTIONERY, COUNT LINES, 1.60, FERRERO ROCHER T3., 0.2300, 08000500047873, N
80050643, 0.330385, 25.77, CONFECTIONERY, COUNT LINES, 0.70, TIC TAC TREE, 0.2300, 5020411112319, I
80050025, 0.330417, 15.86, CONFECTIONERY, COUNT LINES, 0.70, TIC TAC ORANGE, 0.2300, 8000500037874, I
80050124, 0.330417, 15.86, CONFECTIONERY, COUNT LINES, 0.70, TIC TAC MINT, 0.2300, 8000500061398, I
5000189828865, 0.524722, 18.89, CONFECTIONERY, COUNT LINES, 1.00, AERO MILK MEDIUM, 0.2300, 5000189828896, I
5000189828933, 0.439722, 15.83, CONFECTIONERY, COUNT LINES, 1.00, AERO PEPPERMINT, 0.2300, 5000189828964, I
50426560, 0.132275, 50.00, CONFECTIONERY, COUNT LINES, 0.25, KIT KAT REGULAR SNGL, 0.2300, 5000189180246, I
50426751, 0.429375, 20.61, CONFECTIONERY, COUNT LINES, 0.85, ROLO, 0.2300, 5000189201101, I
50251018, 0.606875, 29.13, CONFECTIONERY, COUNT LINES, 1.20, TOFFEE CRISP, 0.2300, 05000189220447, N
50249473, 0.5, 18.00, CONFECTIONERY, COUNT LINES, 1.30, MUNCHIES REGULAR., 0.2300, 05000189211018, N
5099809000163, 0.624167, 7.49, GROCERY, SALT/PEPPER/SPICES/HERBS, 0.85, GEM BREAD SODA, 0.0000, 05099809543288, N
50426270, 0.33766, 274.18, CONFECTIONERY, COUNT LINES, 1.10, ROWN JELLY TOTS, 0.2300, 05000189552432, N
50189779, 0.483125, 23.19, CONFECTIONERY, COUNT LINES, 1.00, POLO MINTS REGULAR., 0.2300, 05000426116328, N
5011096000947, 0.507917, 12.19, CONFECTIONERY, CRISPS/SNACK FOODS, 0.92, TAYTO PEANUT DRY ROAST, 0.2300, , I
50282388, 1.39693, 16.76, HEALTH & BEAUTY, MEDICINAL, 2.39, HEDEX SOLUBLE, 0.0000, 5010214471317, I
5000146053736, 2.265, 27.18, HOUSE HOLD , WASHING POWDERS/LIQUIDS, 3.55, WOOLITE COLD WATER WASH, 0.2300, 5000146013105, I
5000175401140, 1.0425, 12.51, GROCERY, SOUP CANS, 1.45, CAM SOUP CR OF TOMATO, 0.0000, 5000175346298, I
5000175912677, 1.0425, 12.51, GROCERY, SOUP CANS, 1.55, CAM SOUP CR OF MUSHROOM, 0.0000, 5000175274416, I
5000175910376, 1.0425, 12.51, GROCERY, SOUP CANS, 1.50, CAM SOUP CR OF CHICKEN, 0.0000, 5000175274256, I
5011042001028, 1.2725, 15.27, GROCERY, SAUCE/GRAVY/STUFFING, 2.15, GOODALL YORKSHIRE RELISH, 0.0000, 5011042901021, I
5011042020012, 1.2725, 15.27, GROCERY, SAUCE/GRAVY/STUFFING, 2.03, GOODALL SAUCE WORCESTER, 0.0000, 5011042920015, I
50989867, 1.39083, 16.69, GROCERY, COFFEE/TEA..ETC., 2.10, GOODALL ESSENCE VANILLA, 0.0000, 05011042905210, N
5011002006070, 1.08042, 25.93, GROCERY, SOUP PACKETS, 1.65, KNORR SOUP OXTAIL, 0.0000, 5011002906073, I
5011002006223, 1.08042, 25.93, GROCERY, SOUP PACKETS, 1.23, KNORR SOUP TH COUNTRY VEG, 0.0000, 5011002906226, I
5011002006094, 1.08042, 25.93, GROCERY, SOUP PACKETS, 1.50, KNORR SOUP MINESTRONE, 0.0000, 5011002906097, I
5011002006032, 1.02125, 24.51, GROCERY, SOUP PACKETS, 1.29, KNORR SOUP CHICKEN NOODLE, 0.0000, 5011002906035, I
5011002006018, 1.185, 16.59, GROCERY, SOUP PACKETS, 1.50, KNORR SOUP MUSHROOM, 0.0000, 8712566592005, I
5011002006278, 1.08042, 25.93, GROCERY, SOUP PACKETS, 1.29, KNORR SOUP HARV POTATO, 0.0000, 5011002906271, I
5011002604733, 1.08042, 25.93, GROCERY, SOUP PACKETS, 1.29, KNORR SOUP CAULI&BROCCOLI, 0.0000, 5011002904734, I
50769995, 1.0675, 38.43, HEALTH & BEAUTY, MEDICINAL, 1.80, RENNIE PEPPERMINT, 0.0000, 5010605295683, I
50770007, 1.0675, 38.43, HEALTH & BEAUTY, MEDICINAL, 1.69, RENNIE SPEARMINT, 0.0000, 5010605295720, I
5011002605730, 1.7275, 13.82, GROCERY, INSTANT/SNACK MEALS, 2.29, KNORR QK LUN CURRY NOODLE, 0.0000, 5011002904123, I
5011002004137, 1.7275, 13.82, GROCERY, INSTANT/SNACK MEALS, 2.40, KNORR QK LUN CURRY RICE., 0.0000, 5011002904130, I
5011002004144, 1.7275, 13.82, GROCERY, SAUSAGES/COOKED MEAT, 2.40, KNORR QK LUN SPAG BOLOG., 0.0000, 5011002904147, I
5011002017038, 0.710833, 17.06, GROCERY, SAUCE/GRAVY/STUFFING, 1.05, KNORR SAUCE WHITE, 0.0000, 5011002917031, I
5011002017045, 0.710833, 17.06, GROCERY, SAUCE/GRAVY/STUFFING, 1.05, KNORR SAUCE PARSLEY, 0.0000, 05011002917048, I
5011002017120, 0.711111, 12.80, GROCERY, SAUCE/GRAVY/STUFFING, 0.87, KNORR SAUCE CURRY MILD, 0.0000, 08712566578290, I
5011002017106, 0.711111, 12.80, GROCERY, SAUCE/GRAVY/STUFFING, 1.05, KNORR SAUCE CURRY MED, 0.0000, 08712566578467, I
5011002017113, 0.710833, 17.06, GROCERY, SAUCE/GRAVY/STUFFING, 1.05, KNORR SAUCE SPAGHETTI, 0.0000, 5011002917116, I
50755714, 0.710833, 8.53, HOUSE HOLD , POLISHES, 1.00, KIWI POLISH BLACK, 0.2300, 3181739003399, I
5099809000835, 1.7075, 20.49, GROCERY, BAKERY/COOKERY, 2.03, GEM WALNUTS, 0.0000, 05099809123930, I
5099809000842, 2.345, 28.14, GROCERY, BAKERY/COOKERY, 2.81, GEM ALMONDS GROUND, 0.0000, 05099809123947, I
50755776, 0.645, 7.74, HOUSE HOLD , POLISHES, 1.20, KIWI POLISH DARK TAN, 0.2300, 5000179015190, I
5099809000866, 2.39167, 28.70, GROCERY, BAKERY/COOKERY, 2.84, GEM ALMONDS WHOLE, 0.0000, 05099809123961, I
